name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop Lenovo ThinkBook 14 G8 IRL 21SG007TVN,"Intel Core 7 240H, 10 lõi (6P + 4E) / 16 luồng, P-core 2.5 / 5.2GHz, E-core 1.8 / 4.0GHz, 24MB","2 khe (1 x 16GB, nâng cấp đến 64GB DDR5-5600)",Intel Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hai khe cắm M.2 2280 PCIe 4.0 x4, tối đa 2TB mỗi ổ)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","45Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK) + Office Trial + Absolute Home & Office Basic 1-year",Xám,22.990.000₫,,
Laptop Lenovo ThinkPad T14s Gen 6 21R1000AVN,"Intel Core Ultra 7 255H, 16 lõi (6P + 8E + 2LPE) / 16 luồng, Max Turbo up to 5.1GHz, 24MB",Onboard không nâng cấp,Intel Arc 140T GPU,"512GB SSD M.2 2280 PCIe 4.0x4 Performance NVMe Opal 2.0 (One drive, up to 1TB M.2 2280 SSD)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits
Màn hình chống chói
Độ phủ màu 45% NTSC
DBEF5 (Dual Brightness Enhancement Film 5)","58Wh, 65W USB-C Slim GaN (3-pin)","Windows 11 Pro, English (US) / English (UK)",Đen,42.490.000₫,,
Laptop Lenovo V15 G4 IRU 83CC0041VN,"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",2 khe (8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200),Intel UHD Graphics,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa 1TB),15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","38Wh, 65W USB-C (3-pin)",Free OS,Xám,13.290.000₫,,
Laptop Lenovo ThinkBook 14 G8 IAL 21SJ0070VN,"Intel Core Ultra 5 225H, 14 lõi (4P + 8E + 2LPE) / 14 luồng, Max Turbo up to 4.9GHz, 18MB Intel Smart Cache","2 khe (2 x 8GB, nâng cấp tối đa 64GB DDR5-5600)",Intel Arc 130T,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2 ổ SSD M.2, dung lượng tối đa 2TB mỗi ổ)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói","45Wh, 65W USB-C (3-pin)",Windows 11 Home Single Language + Office Trial + Absolute Home & Office Basic 1-year,Xám,22.890.000₫,,
Laptop Lenovo LOQ Essential 15IRX11 83SC003RVN,"Intel Core i5-13450HX, 10 lõi (6P + 4E) / 16 luồng, P-core 2.4 / 4.6GHz, E-core 1.8 / 3.4GHz, 20MB","2 khe (1 x 16GB, Up to 16GB DDR5-4800 offering)","NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 1500MHz, TGP 65W, 440 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x SSD M.2 • SSD M.2 dung lượng tối đa 1TB mỗi ổ)",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits
Độ phủ màu 100% sRGB
Màn hình chống chói","60Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English",Xám,29.990.000₫,,
Laptop Lenovo V14 G4 IRU 83A000FNVN,"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",Tối đa 16GB (8GB Onboard + 8GB SO-DIMM),Intel UHD Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Lên đến hai ổ đĩa, nâng cấp tối đa 1TB)",14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","38Wh, 65W USB-C (3-pin)",Free OS,Xám,13.290.000₫,,
Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006CVN,"Intel Core 5 210H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB","2 khe (2x 16GB, tối đa 32GB)",Intel Graphics,1TB SSD M.2 2242 PCIe 4.0x4 NVMe,14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits
Độ phủ màu 100% DCI-P3
DisplayHDR True Black 500","60Wh, 65W USB-C Slim (Wall-mount)","Windows 11 Home Single Language, English",Xám,22.990.000₫,,
Laptop Lenovo Yoga Slim 7 14IMH9 83CV00DKVN,"Intel Core Ultra 7 155H, 16 lõi (6P + 8E + 2LPE) / 22 luồng, Max Turbo up to 4.8GHz, 24MB",Onboard không nâng cấp,Intel Arc Graphics,1TB SSD M.2 2242 PCIe 4.0x4 NVMe,14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits
Độ phủ màu 100% DCI-P3
Eyesafe
Dolby Vision
DisplayHDR True Black 500","65Wh, 65W USB-C Slim (Wall-mount)","Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024",Xám,29.490.000₫,,
Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20002VN,"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2 khe (1 x 8GB Onboard + 1 x 8GB SO-DIMM, tối đa 24GB)",Intel UHD Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC",60Wh (Đầu tròn 65W (3 chân)),"Windows 11 Home Single Language, English",Xám,15.990.000₫,5 sao/ (1 đánh giá),"Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Máy quá tuyệt vời ko có j để chê"
Laptop Lenovo ThinkBook 14 G8 IRL 21SG007SVN,"Intel Core 5 210H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB","2 khe (1 x 16GB, nâng cấp tối đa 64GB DDR5-5600)",Intel Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x SSD M.2 • SSD M.2 2280, mỗi ổ có dung lượng tối đa 2TB)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói","45Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK) + Bản dùng thử Office + Gói cơ bản Absolute Home & Office 1 năm",Xám,19.790.000₫,,
