"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Dell 15 DC15250 71084747","Intel Core i7-1355U","2 khe (1 x 16GB, tối đa 32GB)","Intel UHD Graphics","512GB SSD M.2 PCIe NVMe
Hỗ trợ SSD M.2 2280 tối đa 2TB","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Màn hình chống chói
Màn hình LED nền viền mỏng","3-cell, 41Wh lithium-polymer","Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic (1 năm) + McAfee LiveSafe (1 năm, 5 thiết bị)","Bạc","20.990.000₫","",""
"Laptop Dell 15 DC15250 1XVHG V2 - Nhập khẩu chính hãng","Intel Core i5 1334U","2 khe (nâng cấp tối đa 24GB)","Intel UHD Graphics","512GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC","3-cell, 41 Wh","Windows 11","Đen","17.990.000₫","",""
"Laptop Dell 15 DC15250 DC5I7748W1","Intel Core i7-1355U (10 lõi, up to 5.00 GHz)","DDR4-2666 MT/s","Intel UHD Graphics","512GB M.2 PCIe NVMe nâng cấp lên đến 1T 1 khe SSD M2 đã sữ dụng","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói
Màn hình viền hẹp có đèn nền LED","4-Cell Battery, 54WHr","Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic 1 year","Bạc","20.990.000₫","",""
"Laptop Dell Inspiron 14 5441 N4O10441W1","Snapdragon X Plus X1P-64-100, 10 cores up to 3.4GHz, NPU up to 45 TOPS","Onboard không nâng cấp","Qualcomm Adreno","Ổ cứng thể rắn M.2 PCIe NVMe 1TB","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói
Độ phủ màu 45% NTSC
Độ sáng 300nits","3-cell, 54 Wh, lithium-ion","Windows 11 Home, Copilot+ PC Microsoft Office Home 2024 + Microsoft 365 Basic 1 year subscription","Xám","28.490.000₫","",""
"Laptop Dell 14 DC14255 DC4AI5278W1","AMD Ryzen AI 5 330 (50 TOPS NPU, 4 lõi, up to 4.5 Ghz)","1 khe Onboard + 1 khe trống nâng cấp tối đa 32GB","AMD Radeon Graphics","512GB M.2 PCIe NVMe (nâng cấp tối đa 1TB)","14 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu 45% NTSC
Độ sáng 300 nit
Màn hình chống chói","Li-ion 4-Cell Battery, 54WHr","Windows 11 Home, Single Language English + Office Home & Student 2024","Bạc","21.990.000₫","",""
"Laptop Dell 15 DC15250 I5U165W11SLU-5","Intel Core i5-1334U (12MB Cache, Turbo Boost 4.6GHz)","2 khe (1 x 16GB)","Intel UHD Graphics","512GB SSD PCIe Gen4x4 (M.2 2230)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)","Bạc","17.490.000₫","",""
"Laptop Dell 15 DC15250 1XVHG - Nhập khẩu chính hãng","Intel Core i5 1334U","2 khe (nâng cấp tối đa 24GB)","Intel UHD Graphics","512GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC","3-cell, 41 Wh","Windows 11","Đen","16.490.000₫","",""
"Laptop Dell 15 DC15250 DC5I7952W1","Intel Core i7-1355U (10 lõi, up to 5.00 GHz)","1 x 16GB","Intel UHD Graphics","512GB M.2 PCIe NVMe nâng cấp lên đến 1TB, 1 khe SSD M2 đã sữ dụng","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Màn hình chống chói
Màn hình LED nền viền mỏng
Độ phủ màu 45% NTSC","4-Cell Battery, 54WHr","Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic 1 year","Bạc","20.990.000₫","",""
"Laptop Dell 16 DC16250 71076092","Intel Core 5 120U (Up to 5.0 GHz; 10 lõi, 12 luồng, 12 MB Intel Smart Cache)","2 khe (2 x 8GB, Nâng cấp tối đa 32GB)","Intel Graphics","1TB SSD M.2 PCIe NVMe (1 x M.2 2230 solid state drive, đã sử dụng 1, có thể thay được)","16 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu 45% NTSC","3 cell 41WHr","Windows 11 Home + Microsoft Office Home 2024","Đen","23.690.000₫","",""
"Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng","Intel Core i3-1215U (15 W, 6 lõi / 8 luồng, 1.20 GHz to 4.40 GHz, 10 MB)","2 khe nâng cấp tối đa 16 GB","Intel UHD Graphics","512GB PCIE","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu NTSC 45%
Thời gian phản hồi 35 ms
Màn hình chống chói","3-cell, 41 Wh lithium-polymer","Free OS","Đen","9.290.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Dịch vụ good nhân viên good"
