"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Lenovo IdeaPad Slim 3 15ARP10 83K700EWVN","AMD Ryzen 7 7735HS (8 lõi / 16 luồng, 3.2 / 4.75GHz, 4MB L2 / 16MB L3)","2 khe (8GB Onboard + 8GB SODIMM, tối đa 24GB (8GB Onboard + 16GB SODIMM))","AMD Radeon 680M Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, up to 1TB)","15.3 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","50Wh, 65W Round Tip (3-pin)","Windows 11 Home Single Language, English","Xám","17.490.000₫","",""
"Laptop Lenovo ThinkBook 16 G8 IRL 21SH0094VA","Intel Core 5 210H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","Intel Graphics","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, mỗi ổ có dung lượng tối đa 2TB)","16 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","45Wh, 65W USB-C (3-pin)","Free OS","Xám","19.990.000₫","",""
"Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00009VN","Intel Core i7-13620H, 10 lõi (6P + 4E) / 16 luồng, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB","2 khe (8GB Onboard + 16GB SO-DIMM, tối đa 24GB)","Intel UHD Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","60Wh (Đầu tròn 65W (3 chân)","Windows 11 Home Single Language, English","Xám","21.990.000₫","",""
"Laptop Lenovo V15 G5 IRL 83HF00BYVN","Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2 khe (2 x 8GB, nâng cấp tối đa 32GB DDR5-5200 offering)","Intel UHD Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","47Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK)","Xám","16.290.000₫","",""
"Laptop Lenovo ThinkPad X9-15 Gen 1 Aura Edition 21Q60054VN","Intel Core Ultra 7 258V, 8 lõi (4P + 4LPE) / 8 luồng, Max Turbo up to 4.8GHz, 12MB Intel Smart Cache","Onboard không nâng cấp","Intel Arc Graphics 140V","1TB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Một ổ đĩa, SSD M.2 2242 dung lượng lên đến 2TB.)","15.3 inches","2880 x 1800 pixels","Độ sáng 500 nits
Chống chói / chống bám vân tay
Độ phủ màu DCI-P3 100%
DisplayHDR True Black 600
Dolby Vision","80Wh, 65W USB-C Slim GaN (3-pin)","Windows 11 Pro, English (US) / English (UK)","Xám","51.990.000₫","",""
"Laptop Lenovo Yoga Slim 7 14IMH9 83CV00D8VN","Intel Core Ultra 5 125H, 14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.5GHz, 18MB","Onboard không nâng cấp","Intel Arc Graphics","1TB SSD M.2 2242 PCIe 4.0x4 NVMe","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 400nits
Độ phủ màu 100% DCI-P3
Eyesafe
Dolby Vision
DisplayHDR True Black 500","65Wh, 65W USB-C Slim (Wall-mount)","Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024","Xám","24.990.000₫","",""
"Laptop Lenovo IdeaPad Slim 3 OLED 14IRH10 83K0000BVN","Intel Core i5-13420H (8 lõi (4P + 4E) / 12 luồng, P-core 2.1/4.6GHz, E-core 1.5/3.4GHz, 12MB)","8GB Onboard + 8GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 24GB (8GB Onboard + 16GB SO-DIMM))","Intel UHD Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 400nits
Độ phủ màu 100% DCI-P3","Đầu tròn 65W (3 chân)","Windows 11 Home Single Language, English Office Trial","Xám","18.990.000₫","5 sao/ (2 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên htr nhiệt tình || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên hỗ trợ nhiệt tình"
"Laptop Lenovo ThinkPad X9-15 Gen 1 Aura Edition 21Q60050VN","Intel Core Ultra 5 228V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.5GHz, 8MB","Onboard không nâng cấp","Intel Arc Graphics 130V","512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Một ổ đĩa, tối đa 2TB M.2 2242 SSD)","15.3 inches","2880 x 1800 pixels","Chống chói / Chống vân tay
Độ sáng 500nits
Độ phủ màu 100% DCI-P3
DisplayHDR True Black 600
Dolby Vision","80Wh, 65W USB-C Slim GaN (3-pin)","Windows 11 Pro, English (US) / English (UK) + Lenovo AI Now + Bộ hiệu suất kết nối Intel","Xám","44.490.000₫","",""
"Laptop Lenovo Yoga Slim 7 14ILL10 83JX0081VN","Intel Core Ultra 7 258V, 8 lõi (4P + 4LPE) / 8 luồng, Max Turbo up to 4.8GHz, 12MB","Không nâng cấp","Intel Arc Graphics 140V","1TB SSD M.2 2242 PCIe 4.0x4 NVMe","14 inches","2880 x 1800 pixels","Độ sáng 1100nits (cao nhất) / 500nits (trung bình)
Độ phủ màu 100% DCI-P3
Eyesafe
Dolby Vision
DisplayHDR True Black 1000
X-Rite
PureSight Pro","70Wh, 65W USB-C Slim (2-pin, Wall-mount)","Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024 + Lenovo AI Now","Trắng kem","35.990.000₫","",""
"Laptop Lenovo Yoga 7 2-IN-1 14ILL10 83JQ0093VN","Intel Core Ultra 7 258V, 8 lõi (4P + 4LPE) / 8 luồng, Max Turbo up to 4.8GHz, 12MB","Không nâng cấp","Intel Arc Graphics 140V","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)","14 inches","2880 x 1800 pixels","Độ sáng 1100nits (đỉnh) / 500nits (trung bình) Bóng / Chống vân tay
Độ phủ màu 100% DCI-P3
Dolby Vision
TÜV Low Blue Light
DisplayHDR True Black 1000","70Wh (65W USB-C (3-pin))","Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024 + Lenovo AI Now","Vàng","37.990.000₫","",""
